word,rank
cigar,0.00326
rebut,0.00019
sissy,0.00115
humph,0.00005
awake,0.00263
blush,0.0014
focal,0.00476
evade,0.00049
naval,0.0066
serve,0.02992
heath,0.005
dwarf,0.0025
model,0.13141
karma,0.00559
stink,0.00071
grade,0.04424
quiet,0.01365
bench,0.00733
abate,0.00038
feign,0.0001
major,0.09993
death,0.06784
fresh,0.03161
crust,0.00185
stool,0.00247
colon,0.00448
abase,0.00002
marry,0.00358
react,0.00336
batty,0.00034
pride,0.01176
floss,0.00083
helix,0.00238
croak,0.00014
staff,0.12354
paper,0.11
unfed,0.00002
whelp,0.00006
trawl,0.00045
outdo,0.00012
adobe,0.02245
crazy,0.01878
sower,0.00011
repay,0.00142
digit,0.0057
crate,0.0019
cluck,0.00011
spike,0.00394
mimic,0.00097
pound,0.0111
maxim,0.00311
linen,0.00404
unmet,0.00048
flesh,0.00552
booby,0.00031
forth,0.01643
first,0.4713
stand,0.03774
belly,0.00599
ivory,0.00583
seedy,0.00023
print,0.14531
yearn,0.00025
drain,0.00523
bribe,0.00053
stout,0.00158
panel,0.04384
crass,0.00033
flume,0.00014
offal,0.00016
agree,0.03872
error,0.07287
swirl,0.00102
argue,0.00681
bleed,0.00162
delta,0.02287
flick,0.00181
totem,0.00078
wooer,0
front,0.08224
shrub,0.00119
parry,0.00112
biome,0.00014
lapel,0.00091
start,0.13199
greet,0.00145
goner,0.00007
golem,0.00036
lusty,0.00057
loopy,0.00021
round,0.05041
audit,0.01694
lying,0.00673
gamma,0.02888
labor,0.03087
islet,0.0004
civic,0.00838
forge,0.00426
corny,0.00031
moult,0.00006
basic,0.06916
salad,0.00727
agate,0.00073
spicy,0.00258
spray,0.01235
essay,0.00958
fjord,0.00032
spend,0.02178
kebab,0.0002
guild,0.00646
aback,0.00022
motor,0.03311
alone,0.03206
hatch,0.00318
hyper,0.00257
thumb,0.00594
dowry,0.00022
ought,0.00613
belch,0.00009
dutch,0.01549
pilot,0.01786
tweed,0.00133
comet,0.00254
jaunt,0.00015
enema,0.00108
steed,0.00057
abyss,0.00094
growl,0.00038
fling,0.00056
dozen,0.00797
boozy,0.00006
erode,0.00063
world,0.3521
gouge,0.0002
click,0.43754
briar,0.00051
great,0.24576
altar,0.00214
pulpy,0.00003
blurt,0.00007
coast,0.0389
duchy,0.00028
groin,0.00064
fixer,0.00045
group,0.26236
rogue,0.00373
badly,0.00431
smart,0.02987
pithy,0.00016
gaudy,0.0002
chill,0.00366
heron,0.00129
vodka,0.00176
finer,0.00119
surer,0.00006
radio,0.09235
rouge,0.00496
perch,0.00101
retch,0.00003
wrote,0.04599
clock,0.0217
tilde,0.00028
store,0.23747
prove,0.01308
bring,0.04696
solve,0.01097
cheat,0.00807
grime,0.00042
exult,0.00012
usher,0.00403
epoch,0.00137
triad,0.00124
break,0.04177
rhino,0.00214
viral,0.00487
conic,0.00018
masse,0.00042
sonic,0.00595
vital,0.01155
trace,0.00954
using,0.21965
peach,0.00321
champ,0.00234
baton,0.00345
brake,0.0076
pluck,0.00073
craze,0.00078
gripe,0.00044
weary,0.00133
picky,0.00058
acute,0.00907
ferry,0.00751
aside,0.00959
tapir,0.00007
troll,0.00169
unify,0.00051
rebus,0.00019
boost,0.01115
truss,0.00121
siege,0.00205
tiger,0.01122
banal,0.00021
slump,0.00072
crank,0.00178
gorge,0.00159
query,0.0255
drink,0.02385
favor,0.00967
abbey,0.00344
tangy,0.00027
panic,0.00521
solar,0.01665
shire,0.00217
proxy,0.00878
point,0.14309
robot,0.01032
prick,0.00073
wince,0.00058
crimp,0.00052
knoll,0.00079
sugar,0.0183
whack,0.00059
mount,0.02987
perky,0.00111
could,0.24644
wrung,0.0001
light,0.10328
those,0.22011
moist,0.00174
shard,0.00023
pleat,0.00022
aloft,0.00041
skill,0.01291
elder,0.00595
frame,0.03756
humor,0.01474
pause,0.00375
ulcer,0.00109
ultra,0.01777
robin,0.00931
cynic,0.00043
aroma,0.00165
caulk,0.0002
shake,0.00558
dodge,0.01204
swill,0.00008
tacit,0.00048
other,0.79763
thorn,0.00116
trove,0.00057
bloke,0.00063
vivid,0.00365
spill,0.00317
chant,0.00112
choke,0.00118
rupee,0.00231
nasty,0.00606
mourn,0.00064
ahead,0.02313
brine,0.00067
cloth,0.00796
hoard,0.00035
sweet,0.02634
month,0.10029
lapse,0.00119
watch,0.075
today,0.19505
focus,0.0535
smelt,0.00025
tease,0.00165
cater,0.00171
movie,0.12914
saute,0.00045
allow,0.05466
renew,0.00535
their,0.63816
slosh,0.00004
purge,0.00111
chest,0.01102
depot,0.0079
epoxy,0.00156
nymph,0.00057
found,0.18912
shall,0.15648
harry,0.02761
stove,0.00319
lowly,0.00044
snout,0.00021
trope,0.00009
fewer,0.0088
shawl,0.00082
natal,0.00245
comma,0.00221
foray,0.00041
scare,0.00242
stair,0.00164
black,0.19946
squad,0.00713
royal,0.03701
chunk,0.00193
mince,0.00027
shame,0.00553
cheek,0.00219
ample,0.0026
flair,0.00157
foyer,0.00085
cargo,0.00795
oxide,0.00434
plant,0.04341
olive,0.00758
inert,0.00076
askew,0.00039
heist,0.00034
shown,0.05605
zesty,0.00017
hasty,0.00057
trash,0.00578
fella,0.00052
larva,0.00038
forgo,0.00028
story,0.11285
hairy,0.01554
train,0.02594
homer,0.00349
badge,0.00501
midst,0.00276
canny,0.00017
shine,0.00479
butch,0.00099
farce,0.00059
slung,0.00021
tipsy,0.00023
metal,0.0458
yield,0.01225
delve,0.00052
being,0.19791
scour,0.00034
glass,0.05181
gamer,0.00256
scrap,0.00306
money,0.15505
hinge,0.00143
album,0.06351
vouch,0.00032
asset,0.01482
tiara,0.00075
crept,0.00048
bayou,0.00114
atoll,0.00074
manor,0.00578
creak,0.0001
showy,0.00024
phase,0.0332
froth,0.00023
depth,0.02599
gloom,0.00072
flood,0.0114
trait,0.00139
girth,0.0004
piety,0.00049
payer,0.00117
goose,0.00305
float,0.00718
donor,0.00579
atone,0.00012
primo,0.00074
apron,0.00132
blown,0.00345
cacao,0.00027
loser,0.00206
input,0.04662
gloat,0.00009
awful,0.00425
brink,0.00121
smite,0.00022
beady,0.00007
rusty,0.00227
retro,0.00652
droll,0.00016
gawky,0.00003
hutch,0.00112
pinto,0.0009
gaily,0.00011
egret,0.00032
lilac,0.00142
sever,0.00056
field,0.11028
fluff,0.00066
hydro,0.00304
flack,0.00033
agape,0.00034
voice,0.05266
stead,0.00059
stalk,0.00076
berth,0.00086
madam,0.00165
night,0.10641
bland,0.00131
liver,0.0099
wedge,0.00258
augur,0.0001
roomy,0.00047
wacky,0.00152
flock,0.00211
angry,0.00755
bobby,0.00731
trite,0.00023
aphid,0.00024
tryst,0.00017
midge,0.00025
power,0.18472
elope,0.00006
cinch,0.00035
